----- Initial parameters: -----
fcn value: -420.0823 
     parameter initial gradient free
[1,]    40.100        0.6639132    1
[2,]  1100.000       -0.1140057    1
[3,]     0.035      761.3512444    1
Condition number of the (active) hessian: 856464163 
lam= 41.10928 ,nu= NaN ,phi= 964.8111 ,omega= 0.03562452 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9056 ,omega= 0.03568694 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9528 ,omega= 0.03571816 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9764 ,omega= 0.03573376 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9882 ,omega= 0.03574156 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9941 ,omega= 0.03574547 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9971 ,omega= 0.03574742 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9986 ,omega= 0.03574839 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9993 ,omega= 0.03574888 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9997 ,omega= 0.03574912 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9999 ,omega= 0.03574925 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 965 ,omega= 0.03574931 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 965 ,omega= 0.03574934 ,f= NaN ,
lam= 41.10928 ,nu= 4.03764 ,phi= 965 ,omega= 0.03574935 ,f= -407.2313 ,
lam= 41.10928 ,nu= 4.03764 ,phi= 965 ,omega= 0.03574935 ,f= -407.2313 ,
-----Iteration 9 -----
lam= 41.10925 ,nu= NaN ,phi= 779.5555 ,omega= -0.02614421 ,f= NaN ,
lam= 41.10926 ,nu= NaN ,phi= 872.2778 ,omega= 0.004802571 ,f= NaN ,
lam= 41.10927 ,nu= NaN ,phi= 918.6389 ,omega= 0.02027596 ,f= NaN ,
lam= 41.10927 ,nu= NaN ,phi= 941.8195 ,omega= 0.02801266 ,f= NaN ,
lam= 41.10927 ,nu= NaN ,phi= 953.4097 ,omega= 0.031881 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 959.2049 ,omega= 0.03381518 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 962.1025 ,omega= 0.03478227 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 963.5512 ,omega= 0.03526581 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.2756 ,omega= 0.03550758 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.6378 ,omega= 0.03562847 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.8189 ,omega= 0.03568891 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9095 ,omega= 0.03571913 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9547 ,omega= 0.03573424 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9774 ,omega= 0.0357418 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9887 ,omega= 0.03574557 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9944 ,omega= 0.03574746 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9972 ,omega= 0.03574841 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9986 ,omega= 0.03574888 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9993 ,omega= 0.03574912 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9997 ,omega= 0.03574923 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9998 ,omega= 0.03574929 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9999 ,omega= 0.03574932 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 965 ,omega= 0.03574934 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 965 ,omega= 0.03574934 ,f= NaN ,
lam= 41.10928 ,nu= 4.030127 ,phi= 965 ,omega= 0.03574935 ,f= -406.6752 ,
lam= 41.10928 ,nu= 4.030127 ,phi= 965 ,omega= 0.03574935 ,f= -406.6752 ,
-----Iteration 10 -----
lam= 41.10925 ,nu= NaN ,phi= 615.0466 ,omega= -0.02421619 ,f= NaN ,
lam= 41.10927 ,nu= NaN ,phi= 790.0233 ,omega= 0.00576658 ,f= NaN ,
lam= 41.10927 ,nu= NaN ,phi= 877.5117 ,omega= 0.02075796 ,f= NaN ,
lam= 41.10927 ,nu= NaN ,phi= 921.2558 ,omega= 0.02825366 ,f= NaN ,
lam= 41.10927 ,nu= NaN ,phi= 943.1279 ,omega= 0.0320015 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 954.064 ,omega= 0.03387543 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 959.532 ,omega= 0.03481239 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 962.266 ,omega= 0.03528087 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 963.633 ,omega= 0.03551511 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.3165 ,omega= 0.03563223 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.6583 ,omega= 0.03569079 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.8291 ,omega= 0.03572007 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9146 ,omega= 0.03573471 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9573 ,omega= 0.03574203 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9787 ,omega= 0.03574569 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9893 ,omega= 0.03574752 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9947 ,omega= 0.03574843 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9973 ,omega= 0.03574889 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9987 ,omega= 0.03574912 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9993 ,omega= 0.03574923 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9997 ,omega= 0.03574929 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9998 ,omega= 0.03574932 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9999 ,omega= 0.03574933 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 965 ,omega= 0.03574934 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 965 ,omega= 0.03574934 ,f= NaN ,
lam= 41.10928 ,nu= 3.995012 ,phi= 965 ,omega= 0.03574935 ,f= -404.2686 ,
lam= 41.10928 ,nu= 3.995012 ,phi= 965 ,omega= 0.03574935 ,f= -404.2686 ,
-----Iteration 11 -----
lam= 41.10927 ,nu= NaN ,phi= -193713.5 ,omega= 0.02430109 ,f= NaN ,
lam= 41.10927 ,nu= NaN ,phi= -96374.26 ,omega= 0.03002522 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= -47704.63 ,omega= 0.03288728 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= -23369.81 ,omega= 0.03431831 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= -11202.41 ,omega= 0.03503383 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= -5118.704 ,omega= 0.03539159 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= -2076.852 ,omega= 0.03557047 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= -555.9259 ,omega= 0.03565991 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 204.537 ,omega= 0.03570463 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 584.7685 ,omega= 0.03572699 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 774.8843 ,omega= 0.03573817 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 869.9421 ,omega= 0.03574376 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 917.4711 ,omega= 0.03574655 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 941.2355 ,omega= 0.03574795 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 953.1178 ,omega= 0.03574865 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 959.0589 ,omega= 0.035749 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 962.0294 ,omega= 0.03574917 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 963.5147 ,omega= 0.03574926 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.2574 ,omega= 0.0357493 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.6287 ,omega= 0.03574932 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.8143 ,omega= 0.03574934 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9072 ,omega= 0.03574934 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9536 ,omega= 0.03574934 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9768 ,omega= 0.03574935 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9884 ,omega= 0.03574935 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9942 ,omega= 0.03574935 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9971 ,omega= 0.03574935 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9986 ,omega= 0.03574935 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9993 ,omega= 0.03574935 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9996 ,omega= 0.03574935 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9998 ,omega= 0.03574935 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 964.9999 ,omega= 0.03574935 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 965 ,omega= 0.03574935 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 965 ,omega= 0.03574935 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 965 ,omega= 0.03574935 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 965 ,omega= 0.03574935 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 965 ,omega= 0.03574935 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 965 ,omega= 0.03574935 ,f= NaN ,
lam= 41.10928 ,nu= NaN ,phi= 965 ,omega= 0.03574935 ,f= NaN ,
lam= 41.10928 ,nu= 3.980077 ,phi= 965 ,omega= 0.03574935 ,f= -403.3316 ,
lam= 41.10928 ,nu= 3.980077 ,phi= 965 ,omega= 0.03574935 ,f= -403.3316 ,
