----- Initial parameters: -----
fcn value: -420.0871 
     parameter initial gradient free
[1,]    40.100       0.66455403    1
[2,]  1500.000      -0.08345809    1
[3,]     0.035     761.38905798    1
Condition number of the (active) hessian: 1943933506 
lam= 42.89615 ,nu= NaN ,phi= 964.9816 ,omega= 0.0382399 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9923 ,omega= 0.03848957 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9977 ,omega= 0.0386144 ,f= NaN ,
lam= 42.89615 ,nu= 4.638168 ,phi= 965.0004 ,omega= 0.03867682 ,f= -408.4244 ,
lam= 42.89615 ,nu= 4.638168 ,phi= 965.0004 ,omega= 0.03867682 ,f= -408.4244 ,
-----Iteration 11 -----
lam= 42.89612 ,nu= NaN ,phi= 956.1324 ,omega= -0.01963911 ,f= NaN ,
lam= 42.89613 ,nu= NaN ,phi= 960.5664 ,omega= 0.009518855 ,f= NaN ,
lam= 42.89614 ,nu= NaN ,phi= 962.7834 ,omega= 0.02409784 ,f= NaN ,
lam= 42.89614 ,nu= NaN ,phi= 963.8919 ,omega= 0.03138733 ,f= NaN ,
lam= 42.89614 ,nu= NaN ,phi= 964.4462 ,omega= 0.03503208 ,f= NaN ,
lam= 42.89614 ,nu= NaN ,phi= 964.7233 ,omega= 0.03685445 ,f= NaN ,
lam= 42.89614 ,nu= NaN ,phi= 964.8619 ,omega= 0.03776564 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9311 ,omega= 0.03822123 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9658 ,omega= 0.03844903 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9831 ,omega= 0.03856292 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9918 ,omega= 0.03861987 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9961 ,omega= 0.03864835 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9982 ,omega= 0.03866259 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9993 ,omega= 0.0386697 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9999 ,omega= 0.03867326 ,f= NaN ,
lam= 42.89615 ,nu= 4.622683 ,phi= 965.0001 ,omega= 0.03867504 ,f= -407.6162 ,
lam= 42.89615 ,nu= 4.622683 ,phi= 965.0001 ,omega= 0.03867504 ,f= -407.6162 ,
-----Iteration 12 -----
lam= 42.89612 ,nu= NaN ,phi= 942.2035 ,omega= -0.01676203 ,f= NaN ,
lam= 42.89613 ,nu= NaN ,phi= 953.6018 ,omega= 0.01095651 ,f= NaN ,
lam= 42.89614 ,nu= NaN ,phi= 959.301 ,omega= 0.02481578 ,f= NaN ,
lam= 42.89614 ,nu= NaN ,phi= 962.1506 ,omega= 0.03174541 ,f= NaN ,
lam= 42.89614 ,nu= NaN ,phi= 963.5754 ,omega= 0.03521023 ,f= NaN ,
lam= 42.89614 ,nu= NaN ,phi= 964.2877 ,omega= 0.03694263 ,f= NaN ,
lam= 42.89614 ,nu= NaN ,phi= 964.6439 ,omega= 0.03780884 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.822 ,omega= 0.03824194 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9111 ,omega= 0.03845849 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9556 ,omega= 0.03856677 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9779 ,omega= 0.03862091 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.989 ,omega= 0.03864797 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9946 ,omega= 0.03866151 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9974 ,omega= 0.03866828 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9988 ,omega= 0.03867166 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9994 ,omega= 0.03867335 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9998 ,omega= 0.0386742 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 965 ,omega= 0.03867462 ,f= NaN ,
lam= 42.89615 ,nu= 4.608732 ,phi= 965.0001 ,omega= 0.03867483 ,f= -406.9114 ,
lam= 42.89615 ,nu= 4.608732 ,phi= 965.0001 ,omega= 0.03867483 ,f= -406.9114 ,
-----Iteration 13 -----
lam= 42.89612 ,nu= NaN ,phi= 911.833 ,omega= -0.01434955 ,f= NaN ,
lam= 42.89613 ,nu= NaN ,phi= 938.4165 ,omega= 0.01216264 ,f= NaN ,
lam= 42.89614 ,nu= NaN ,phi= 951.7083 ,omega= 0.02541874 ,f= NaN ,
lam= 42.89614 ,nu= NaN ,phi= 958.3542 ,omega= 0.03204678 ,f= NaN ,
lam= 42.89614 ,nu= NaN ,phi= 961.6771 ,omega= 0.03536081 ,f= NaN ,
lam= 42.89614 ,nu= NaN ,phi= 963.3386 ,omega= 0.03701782 ,f= NaN ,
lam= 42.89614 ,nu= NaN ,phi= 964.1693 ,omega= 0.03784633 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.5847 ,omega= 0.03826058 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.7924 ,omega= 0.03846771 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.8962 ,omega= 0.03857127 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9481 ,omega= 0.03862305 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9741 ,omega= 0.03864894 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9871 ,omega= 0.03866189 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9936 ,omega= 0.03866836 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9968 ,omega= 0.0386716 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9984 ,omega= 0.03867321 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9992 ,omega= 0.03867402 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9997 ,omega= 0.03867443 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9999 ,omega= 0.03867463 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 965 ,omega= 0.03867473 ,f= NaN ,
lam= 42.89615 ,nu= 4.571178 ,phi= 965 ,omega= 0.03867478 ,f= -405.1523 ,
lam= 42.89615 ,nu= 4.571178 ,phi= 965 ,omega= 0.03867478 ,f= -405.1523 ,
-----Iteration 14 -----
lam= 42.89613 ,nu= NaN ,phi= 496.9093 ,omega= -0.008569956 ,f= NaN ,
lam= 42.89614 ,nu= NaN ,phi= 730.9546 ,omega= 0.01505241 ,f= NaN ,
lam= 42.89614 ,nu= NaN ,phi= 847.9773 ,omega= 0.0268636 ,f= NaN ,
lam= 42.89614 ,nu= NaN ,phi= 906.4887 ,omega= 0.03276919 ,f= NaN ,
lam= 42.89614 ,nu= NaN ,phi= 935.7443 ,omega= 0.03572198 ,f= NaN ,
lam= 42.89614 ,nu= NaN ,phi= 950.3722 ,omega= 0.03719838 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 957.6861 ,omega= 0.03793658 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 961.343 ,omega= 0.03830568 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 963.1715 ,omega= 0.03849023 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.0858 ,omega= 0.03858251 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.5429 ,omega= 0.03862864 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.7714 ,omega= 0.03865171 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.8857 ,omega= 0.03866325 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9429 ,omega= 0.03866901 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9714 ,omega= 0.0386719 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9857 ,omega= 0.03867334 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9929 ,omega= 0.03867406 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9964 ,omega= 0.03867442 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9982 ,omega= 0.0386746 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9991 ,omega= 0.03867469 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9996 ,omega= 0.03867474 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9998 ,omega= 0.03867476 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9999 ,omega= 0.03867477 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9999 ,omega= 0.03867478 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 965 ,omega= 0.03867478 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 965 ,omega= 0.03867478 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 965 ,omega= 0.03867478 ,f= NaN ,
lam= 42.89615 ,nu= 4.551743 ,phi= 965 ,omega= 0.03867478 ,f= -404.3151 ,
lam= 42.89615 ,nu= 4.551743 ,phi= 965 ,omega= 0.03867478 ,f= -404.3151 ,
-----Iteration 15 -----
lam= 42.89613 ,nu= NaN ,phi= -434.1861 ,omega= -0.004608926 ,f= NaN ,
lam= 42.89614 ,nu= NaN ,phi= 265.407 ,omega= 0.01703293 ,f= NaN ,
lam= 42.89614 ,nu= NaN ,phi= 615.2035 ,omega= 0.02785385 ,f= NaN ,
lam= 42.89614 ,nu= NaN ,phi= 790.1017 ,omega= 0.03326432 ,f= NaN ,
lam= 42.89614 ,nu= NaN ,phi= 877.5509 ,omega= 0.03596955 ,f= NaN ,
lam= 42.89614 ,nu= NaN ,phi= 921.2754 ,omega= 0.03732216 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 943.1377 ,omega= 0.03799847 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 954.0689 ,omega= 0.03833663 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 959.5344 ,omega= 0.0385057 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 962.2672 ,omega= 0.03859024 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 963.6336 ,omega= 0.03863251 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.3168 ,omega= 0.03865365 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.6584 ,omega= 0.03866421 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.8292 ,omega= 0.0386695 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9146 ,omega= 0.03867214 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9573 ,omega= 0.03867346 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9787 ,omega= 0.03867412 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9893 ,omega= 0.03867445 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9947 ,omega= 0.03867462 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9973 ,omega= 0.0386747 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9987 ,omega= 0.03867474 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9993 ,omega= 0.03867476 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9997 ,omega= 0.03867477 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9998 ,omega= 0.03867478 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 964.9999 ,omega= 0.03867478 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 965 ,omega= 0.03867478 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 965 ,omega= 0.03867478 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 965 ,omega= 0.03867478 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 965 ,omega= 0.03867478 ,f= NaN ,
lam= 42.89615 ,nu= NaN ,phi= 965 ,omega= 0.03867478 ,f= NaN ,
lam= 42.89615 ,nu= 4.520359 ,phi= 965 ,omega= 0.03867478 ,f= -403.0564 ,
lam= 42.89615 ,nu= 4.520359 ,phi= 965 ,omega= 0.03867478 ,f= -403.0564 ,
