----- Initial parameters: -----
fcn value: -632.6413 
     parameter initial gradient free
[1,]    40.100       -0.2520243    1
[2,]  1100.000       -0.1782014    1
[3,]     0.035     -282.3027218    1
Condition number of the (active) hessian: 496830626 
lam= 38.88877 ,nu= NaN ,phi= 1021.999 ,omega= 0.03407404 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1022 ,omega= 0.03407445 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1022 ,omega= 0.03407466 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1022 ,omega= 0.03407476 ,f= NaN ,
lam= 38.88877 ,nu= 4.814308 ,phi= 1022 ,omega= 0.03407481 ,f= -620.367 ,
lam= 38.88877 ,nu= 4.814308 ,phi= 1022 ,omega= 0.03407481 ,f= -620.367 ,
-----Iteration 9 -----
lam= 38.88875 ,nu= NaN ,phi= 922.3478 ,omega= -0.0176708 ,f= NaN ,
lam= 38.88876 ,nu= NaN ,phi= 972.1739 ,omega= 0.008202003 ,f= NaN ,
lam= 38.88876 ,nu= NaN ,phi= 997.087 ,omega= 0.02113841 ,f= NaN ,
lam= 38.88876 ,nu= NaN ,phi= 1009.544 ,omega= 0.02760661 ,f= NaN ,
lam= 38.88876 ,nu= NaN ,phi= 1015.772 ,omega= 0.03084071 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1018.886 ,omega= 0.03245776 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1020.443 ,omega= 0.03326628 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.221 ,omega= 0.03367055 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.611 ,omega= 0.03387268 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.805 ,omega= 0.03397374 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.903 ,omega= 0.03402428 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.951 ,omega= 0.03404954 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.976 ,omega= 0.03406218 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.988 ,omega= 0.03406849 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.994 ,omega= 0.03407165 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.997 ,omega= 0.03407323 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.999 ,omega= 0.03407402 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.999 ,omega= 0.03407441 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1022 ,omega= 0.03407461 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1022 ,omega= 0.03407471 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1022 ,omega= 0.03407476 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1022 ,omega= 0.03407478 ,f= NaN ,
lam= 38.88877 ,nu= 4.797107 ,phi= 1022 ,omega= 0.0340748 ,f= -618.9685 ,
lam= 38.88877 ,nu= 4.797107 ,phi= 1022 ,omega= 0.0340748 ,f= -618.9685 ,
-----Iteration 10 -----
lam= 38.88875 ,nu= NaN ,phi= 491.7837 ,omega= -0.01354974 ,f= NaN ,
lam= 38.88876 ,nu= NaN ,phi= 756.8918 ,omega= 0.01026253 ,f= NaN ,
lam= 38.88876 ,nu= NaN ,phi= 889.4459 ,omega= 0.02216866 ,f= NaN ,
lam= 38.88876 ,nu= NaN ,phi= 955.723 ,omega= 0.02812173 ,f= NaN ,
lam= 38.88876 ,nu= NaN ,phi= 988.8615 ,omega= 0.03109826 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1005.431 ,omega= 0.03258653 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1013.715 ,omega= 0.03333066 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1017.858 ,omega= 0.03370273 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1019.929 ,omega= 0.03388876 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1020.964 ,omega= 0.03398178 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.482 ,omega= 0.03402829 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.741 ,omega= 0.03405154 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.871 ,omega= 0.03406317 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.935 ,omega= 0.03406898 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.968 ,omega= 0.03407189 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.984 ,omega= 0.03407334 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.992 ,omega= 0.03407407 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.996 ,omega= 0.03407443 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.998 ,omega= 0.03407462 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.999 ,omega= 0.03407471 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.999 ,omega= 0.03407475 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1022 ,omega= 0.03407477 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1022 ,omega= 0.03407479 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1022 ,omega= 0.03407479 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1022 ,omega= 0.03407479 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1022 ,omega= 0.0340748 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1022 ,omega= 0.0340748 ,f= NaN ,
lam= 38.88877 ,nu= 4.776764 ,phi= 1022 ,omega= 0.0340748 ,f= -617.4431 ,
lam= 38.88877 ,nu= 4.776764 ,phi= 1022 ,omega= 0.0340748 ,f= -617.4431 ,
-----Iteration 11 -----
lam= 38.88875 ,nu= NaN ,phi= -4352.626 ,omega= 0.004778938 ,f= NaN ,
lam= 38.88876 ,nu= NaN ,phi= -1665.313 ,omega= 0.01942687 ,f= NaN ,
lam= 38.88876 ,nu= NaN ,phi= -321.6564 ,omega= 0.02675083 ,f= NaN ,
lam= 38.88876 ,nu= NaN ,phi= 350.1718 ,omega= 0.03041281 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 686.0859 ,omega= 0.03224381 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 854.0429 ,omega= 0.0331593 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 938.0215 ,omega= 0.03361705 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 980.0107 ,omega= 0.03384592 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1001.005 ,omega= 0.03396036 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1011.503 ,omega= 0.03401758 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1016.751 ,omega= 0.03404619 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1019.376 ,omega= 0.03406049 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1020.688 ,omega= 0.03406764 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.344 ,omega= 0.03407122 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.672 ,omega= 0.03407301 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.836 ,omega= 0.0340739 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.918 ,omega= 0.03407435 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.959 ,omega= 0.03407457 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.979 ,omega= 0.03407468 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.99 ,omega= 0.03407474 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.995 ,omega= 0.03407477 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.997 ,omega= 0.03407478 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.999 ,omega= 0.03407479 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1021.999 ,omega= 0.03407479 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1022 ,omega= 0.03407479 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1022 ,omega= 0.0340748 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1022 ,omega= 0.0340748 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1022 ,omega= 0.0340748 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1022 ,omega= 0.0340748 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1022 ,omega= 0.0340748 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1022 ,omega= 0.0340748 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1022 ,omega= 0.0340748 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1022 ,omega= 0.0340748 ,f= NaN ,
lam= 38.88877 ,nu= NaN ,phi= 1022 ,omega= 0.0340748 ,f= NaN ,
lam= 38.88877 ,nu= 4.768896 ,phi= 1022 ,omega= 0.0340748 ,f= -616.887 ,
lam= 38.88877 ,nu= 4.768896 ,phi= 1022 ,omega= 0.0340748 ,f= -616.887 ,
