fcn value: -1053.986 
     parameter initial gradient free
[1,]    40.100        0.4001871    1
[2,]  1250.000       -0.2550171    1
[3,]     0.035      458.6098942    1
Condition number of the (active) hessian: 1411335029 
lam= 36.31733 ,nu= NaN ,phi= 1021.918 ,omega= 0.03996505 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1021.959 ,omega= 0.03998661 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1021.98 ,omega= 0.03999739 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1021.99 ,omega= 0.04000278 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1021.995 ,omega= 0.04000547 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1021.997 ,omega= 0.04000682 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1021.999 ,omega= 0.04000749 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1021.999 ,omega= 0.04000783 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1022 ,omega= 0.040008 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1022 ,omega= 0.04000808 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1022 ,omega= 0.04000812 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1022 ,omega= 0.04000814 ,f= NaN ,
lam= 36.31733 ,nu= 4.938547 ,phi= 1022 ,omega= 0.04000815 ,f= -1040.669 ,
lam= 36.31733 ,nu= 4.938547 ,phi= 1022 ,omega= 0.04000815 ,f= -1040.669 ,
-----Iteration 10 -----
lam= 36.31731 ,nu= NaN ,phi= 621.8044 ,omega= -0.0001698062 ,f= NaN ,
lam= 36.31732 ,nu= NaN ,phi= 821.9022 ,omega= 0.01991917 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 921.9511 ,omega= 0.02996366 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 971.9756 ,omega= 0.03498591 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 996.9878 ,omega= 0.03749703 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1009.494 ,omega= 0.03875259 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1015.747 ,omega= 0.03938037 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1018.873 ,omega= 0.03969426 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1020.437 ,omega= 0.03985121 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1021.218 ,omega= 0.03992968 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1021.609 ,omega= 0.03996892 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1021.805 ,omega= 0.03998854 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1021.902 ,omega= 0.03999834 ,f= NaN ,
lam= 36.31733 ,nu= NaN ,phi= 1021.951 ,omega= 0.04000325 ,f= NaN ,
